C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,275","0,1964","0,727","0,0193","0,0467","0,018","0,0428","0,0026","0,1102",St 48
"0,2564","0,177","0,714","0,01228","0,02674","0,00832","0,03946","0,002","0,1128",St 48
"0,287833333333333","0,116833333333333","0,8515","0,0355","0,0366833333333333","0,00505","0,0355","0,002","0,115",St 48
"0,121888888888889","0,005","0,563444444444444","0,0306666666666667","0,0173","0,00526666666666667","0,0204333333333333","0,00492222222222222","0,285111111111111",St 37
"0,331","0,0063","0,617","0,064","0,0699","0,005","0,0337","0,016","0,0279",St 48-TH
"0,23","0,02","0,58","0,053","0,03","0,01","0,03","0,006","0,03",St 48-TH
"0,269666666666667","0,005","0,593833333333333","0,0476666666666667","0,03225","0,005","0,0294833333333333","0,0157166666666667","0,02735",St 48-TH
"0,193","0,0346","0,682","0,0117","0,0274","0,005","0,0318","0,0026","0,0879",St 37
"0,19","0,02","0,64","0,013","0,03","0,01","0,03","0,023","0,09",St 37
"0,22","0,005","0,574666666666667","0,0532666666666667","0,0340666666666667","0,005","0,0243333333333333","0,00851666666666667","0,0341666666666667",St 48-TH
"0,22","0,0051","0,559","0,0444","0,0341","0,005","0,027","0,0134","0,0327",St 48-TH
"0,21",0,"0,57","0,065","0,04","0,01","0,03","0,004","0,03",St 48
"0,118166666666667","0,005","0,528833333333333","0,0279666666666667","0,0149","0,005","0,0204166666666667","0,00403333333333333","0,282333333333333",St 37
"0,22325","0,005","0,55975","0,055075","0,03135","0,005","0,0218","0,009025","0,033425",St 48-TH
"0,237","0,005","0,553","0,0489","0,0401","0,005","0,0273","0,0125","0,0318",St 48-TH
"0,19",0,"0,56","0,06","0,03","0,01","0,02","0,007","0,03",St 48-TH
"0,0811666666666667","0,0051","0,439333333333333","0,00698333333333333","0,0285333333333333","0,005","0,0511333333333333","0,002","0,170166666666667",St 37
"0,166333333333333","0,27","0,806666666666667","0,0221333333333333","0,0438833333333333","0,00506666666666667","0,0546","0,0041","0,1585",St 48
"0,04295","0,005","0,4155","0,0234333333333333","0,0202833333333333","0,00796666666666667","0,0322166666666667","0,002","0,00693333333333333",St 37
"0,1748","0,005","0,4272","0,01196","0,02524","0,005","0,05518","0,002","0,1382",St 48-TH
"0,225","0,005","0,429","0,01","0,0305","0,005","0,0599","0,002","0,139",St 48-TH
"0,31","0,01","0,46","0,02","0,05","0,01","0,06","0,003","0,15",St 48-TH
"0,1805","0,0122","0,4395","0,0112","0,020425","0,005","0,052875","0,0089","0,1345",St 48-TH
"0,188","0,005","0,421","0,0101","0,0265","0,005","0,0586","0,002","0,137",St 48-TH
"0,28","0,01","0,47","0,02","0,05","0,01","0,06","0,004","0,14",St 48-TH
"0,187","0,005","0,400666666666667","0,00975","0,0154333333333333","0,005","0,0535666666666667","0,002","0,132833333333333",St 48-TH
"0,283166666666667","0,177166666666667","0,838833333333333","0,0405166666666667","0,0419166666666667","0,0208666666666667","0,06135","0,00208333333333333","0,1495",St 48
"0,3145","0,173833333333333","0,8495","0,04415","0,0457666666666667","0,0266333333333333","0,056","0,002","0,1525",St 48
"0,2185","0,198","0,7255","0,0238666666666667","0,0446833333333333","0,0391833333333333","0,0457666666666667","0,00253333333333333","0,159166666666667",St 48
"0,226833333333333","0,190333333333333","0,734333333333333","0,0241333333333333","0,0427","0,0392166666666667","0,0422666666666667","0,00241666666666667","0,160166666666667",St 48
"0,2299","0,2142","0,7391","0,0259","0,0561","0,0441","0,0482","0,0027","0,1589",St 48
"0,290333333333333","0,178166666666667","0,844333333333333","0,0407333333333333","0,0407833333333333","0,0198","0,05765","0,00251666666666667","0,149333333333333",St 48
"0,296333333333333","0,169833333333333","0,848","0,0402","0,0445666666666667","0,0267166666666667","0,0564333333333333","0,002","0,149166666666667",St 48
"0,251166666666667","0,110333333333333","0,826","0,0337666666666667","0,03385","0,005","0,0329","0,002","0,1135",St 48
"0,2764","0,1288","0,83","0,0386","0,0483","0,0138","0,0379","0,002","0,1142",St 48
"0,269666666666667","0,104166666666667","0,803833333333333","0,0346666666666667","0,0290833333333333","0,00505","0,03205","0,002","0,114166666666667",St 48
"0,3145","0,1232","0,8421","0,0603","0,065","0,0144","0,0382","0,0011","0,1175",St 48
"0,238875","0,00635","0,472125","0,017025","0,0309125","0,008675","0,062625","0,0020625","0,178625",St 48-TH
"0,284","0,005","0,492","0,0256","0,0474","0,005","0,0689","0,002","0,187",St 48-TH
"0,32","0,01","0,51","0,036","0,06","0,02","0,07","0,003","0,19",St 48-TH
